symbol,name,n_mps,agg_current_value,stock_return_pct
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,1,396815,16.0
IEX,Indian Energy Exchange Limited,1,18605,-14.7
RADICO,Radico Khaitan Limited,1,374132,120.0
MOTILALOFS,Motilal Oswal Financial Services Limited,1,471201,53.9
BHEL,Bharat Heavy Electricals Limited,1,17394,40.7
ZEEL,Zee Entertainment Enterprises Limited,1,3874,-44.1
SUNTV,Sun TV Network Limited,1,9218,-23.2
M&M,Mahindra & Mahindra Limited,1,11873,23.6
LTF,L&T Finance Limited,1,1497905,79.6
KPIGREEN,KPI Green Energy Limited,1,5077,-28.0
ZUARI,Zuari Agro Chemicals Limited,1,1214,23.6
NOCIL,NOCIL Limited,1,16979,-34.9
CHEMCON,Chemcon Speciality Chemicals Limited,1,32513,-24.1
DELTACORP,Delta Corp Limited,1,14225,-35.7
EASTSILK,Eastern Silk Industries Limited,1,0,-100.0
INDIANB,Indian Bank,1,253740,52.4
FELDVR,Future Enterprises Limited,1,254,-49.5
SURANASOL,Surana Solar Limited,1,2224,-30.4
MAHABANK,Bank of Maharashtra,1,759,21.6
MEDPLUS,Medplus Health Services Limited,1,2633,27.6
TATAINVEST,Tata Investment Corporation Limited,1,12866,3.0
NBCC,NBCC (India) Limited,1,124,4.1
TRIVENI,Triveni Engineering & Industries Limited,1,1044,11.9
GREENPOWER,Orient Green Power Company Limited,1,16624,-42.8
FACT,Fertilizers and Chemicals Travancore Limited,1,628108,25.6
LEMONTREE,Lemon Tree Hotels Limited,1,298598,-19.2
SWSOLAR,Sterling and Wilson Renewable Energy Limited,1,216346,-73.7
FORTIS,Fortis Healthcare Limited,1,506160,107.4
RAILTEL,Railtel Corporation Of India Limited,1,164381,-22.3
NIITLTD,NIIT Limited,1,271472,-35.4
USHAMART,Usha Martin Limited,1,1141446,33.1
RITES,RITES Limited,1,184043,-39.2
MEP,MEP Infrastructure Developers Limited,1,2585,-88.0
